secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
identifying:identify,identified,identification,finding,obtaining,recognizing,determining,evaluating,establishing,selecting
coordination:coordinate,cooperation,coordinated,communication,collaboration,interaction,oversight,supervision,transparency,integration
cold:warm,wet,freezing,temperatures,winter,dry,weather,heat,hot,temperature
give:giving,gave,gives,provide,given,take,get,bring,offer
reach:reaching,reached,reaches,achieve,exceed,push,bring,climb,extend,accomplish
demonstrate:demonstrating,demonstrated,demonstrates,recognize,shown,emphasize,showcase,demonstration,highlight,prove
affecting:affects,affect,affected,impacted,impacts,concerning,relating,impact,hurting,related
prefer:want,opt,preferred,tend,choose,favored,opted,preference,liked,chose
bounce:bounced,rebound,rebounded,swing,slide,recover,hit,slip,climb,sliding
recession:downturn,slowdown,economy,crisis,slump,meltdown,economic,boom
measuring:measurement,measured,gauge,measure,determining,evaluating,tracking,indicator,comparing,monitoring
begin:begins,start,began,begun,resume,beginning,started,resumed,continue,underway
survey:surveys,surveyed,poll,study,respondents,report,census,conducted
testified:testimony,testify,argued,allegedly,jurors,witness,witnesses,acknowledged,admitted
postponed:delayed,canceled,scheduled,halted,delay,cancel,stalled,suspended,slated,planned
exist:existed,exists,existence,belong,operate,arise,disappear,occur,there,happen
compares:compared,comparing,compare,comparable,comparison,reflects,versus,follows,refers,represents
exact:precise,exactly,actual,precisely,specific,same,specifics,unknown,details,correct
equipped:compatible,trained,positioned,suited,installed,loaded,designed,powered,integrated,mounted
ruled:upheld,ruling,rule,declared,argued,rejected,overturned,denied,insisted,dismissed
chose:opted,chosen,decided,choosing,choose,wanted,selected,choice,prefer,agreed
column:columnist,article,blog,editorial,articles,newsletter,editor,reader,readers
compared:compares,comparable,decreased,versus,comparison,totaled,decrease,comparing
weak:weaker,sluggish,weakness,weakening,strong,weakened,shaky,soft,stronger,robust
wages:wage,salaries,salary,labor,pensions,incomes,employment,unemployment,pay,workers
indication:indications,indicating,indicate,indicator,indicates,indicated,evidence,explanation,doubt,proof
stops:stop,stopping,stopped,starts,trips,ends,travels,rides,saves
experiencing:experienced,seeing,suffering,occurring,facing,enjoying,witnessed,undergoing,endured,midst
freezing:freeze,frozen,cold,temperatures,wet,warm,snow,dry,temperature,winter
women:men,girls,mothers,ladies,female,woman,males,teenagers
proposal:proposals,proposed,plan,amendment,bill,proposing,legislation,recommendation,plans,amendments
fellow:who,whom,former,longtime,colleagues,mentor,colleague,friends,alike,ex
democracy:democratic,freedom,constitutional,prosperity,constitution,peace,sovereignty,judiciary
accord:pact,agreement,treaty,agreements,deal,compromise,settlement,declaration
leak:spill,leaked,explosion,contamination,blaze,pipe,blast,contaminated
integrate:incorporate,integrated,integration,implement,utilize,combine,transform,deploy,connect,develop
gaps:gap,weaknesses,differences,shortfall,holes,barriers,problems,divide,hole,deficit
rape:raped,murder,kidnapping,murders,assault,slaying,sex,sexual,crimes
screaming:yelling,crying,shouted,laughing,cheering,cry,mad,shaking,loud,crazy
dry:wet,warm,cold,temperatures,cool,rain,hot,thick,weather,water
believe:say,think,argue,convinced,believing,know,believed,insist,expect,believes
attract:attracting,lure,attracted,generate,recruit,encourage,bring,draw,convince,inspire
searched:searching,search,searches,raided,found,seized,checked,discovered,disappeared
searches:search,searched,searching,raids,scan,inspections,hunt,listings
recycling:landfill,waste,trash,garbage,sustainability,packaging,conservation,disposal,containers,plastic
true:truth,genuine,real,indeed,pure,essence,ultimate,actually,truly
suppose:guess,think,maybe,probably,anyway,sort,obviously
heard:hear,listened,spoken,sounded,loud,talked,listen,listening,hearing,seen
positioned:positioning,poised,equipped,confident,able,placed,suited,prepared,enabled,established
northeast:northwest,southeast,southwest,east,north,south,west,eastern,northern,southern
loaded:load,packed,filled,equipped,stored,carrying,containing,supplied,transported,shipped
red:yellow,blue,orange,pink,colored,brown,white,green,gray,black
sharing:shared,share,combining,collaboration,collaborative,swap,collecting,discussing,distributing
transferred:transfer,transported,acquired,transfers,returned,shipped,flown,shifted,withdrawn,removed
exports:export,imports,exporters,imported,shipments,import,output,consumption,economy
denied:denies,deny,denying,rejected,dismissed,claimed,insisted,refused,admitted,defended
obtained:obtain,provided,obtaining,issued,received,supplied,accessed,released,submitted,purchased
emerge:emerged,emerging,arise,disappear,survive,become,dominate,come,recover,surfaced
fell:tumbled,slipped,rose,climbed,slid,dropped,jumped,plunged,falling,slumped
felt:feel,feeling,feels,thought,knew,seemed,looked,think,was,realized
denies:denied,insists,deny,denying,accused,admits,insisted,refuses,alleged,admitted
soul:hearts,spirit,heart,spiritual,essence,blues,love,humanity,inner
peaceful:democratic,peace,quiet,calm,democracy,violent,demonstrators,protesters,nuclear,unity
fascinating:interesting,exciting,curious,strange,amazing,remarkable,wonderful,bizarre,compelling,entertaining
girls:boys,women,girl,teenagers,kids,ladies,teens,children,men
suspects:suspect,suspected,detectives,police,arrests,detained,witnesses,arrested,attackers
instrumental:credited,succeeded,pivotal,assisted,assisting,praised,dedicated,responsible,role,forefront
refuses:refused,refusing,decides,wants,refuse,refusal,fails,asks,does,reluctant
soared:surged,rose,risen,climbed,tumbled,plunged,dipped,jumped,soaring,fell
approached:contacted,asked,confronted,walked,talked,met,spotted,interviewed,chased,stopped
ugly:nasty,awful,horrible,embarrassing,terrible,bad,unfortunate,scary,shocking,bloody
refused:refusing,refuses,refusal,declined,refuse,reluctant,asked,failed,rejected,decided
dress:dressed,wear,clothes,wearing,pants,wore,jacket,uniforms,clothing,worn
anyway:probably,actually,guess,not,if,so,maybe,because,even,do
beginning:starting,begins,begin,start,began,end,started,ending,sometime,mid
disputes:dispute,conflicts,disputed,litigation,contentious,conflict,tensions,issues,controversy,negotiations
failed:failing,fails,unable,failure,fail,attempted,tried,refused,struggled,inability
not:do,did,anymore,necessarily,anything,anyway,does,never,want,neither
slow:slower,slowed,slowing,sluggish,slowly,fast,rapid,pace,faster,accelerated
regardless:whatever,depending,depends,determining,depend,determine,wherever,matter
emphasized:stressed,noted,reiterated,emphasize,acknowledged,explained,insisted,stated,argued,said
arm:leg,shoulder,wrist,legs,elbow,arms,neck,chest,finger,hands
shootings:killings,murders,slaying,shooting,gunman,incidents,bombings,homicide,murder,stabbing
romance:romantic,friendship,affair,love,marriage,drama,adventure,boyfriend,tale,sexy
colors:color,colored,blue,pink,orange,styles,colorful,yellow,red,designs
divide:divided,differences,split,gap,divisions,gaps,tensions,difference,conflict,separation
necessary:needed,required,essential,sufficient,appropriate,need,adequate,proper,require,vital
case:cases,prosecution,trial,arguments,allegation,argument,court,appeal,lawyers
uniforms:uniform,shirts,clothes,clothing,dress,shirt,wear,jersey
appointment:appointments,appoint,appointed,resignation,departure,announcement,nomination,confirmation,decision,resigned
taught:teach,teaches,teaching,learned,instructor,studied,lessons,learning,learn,coached
engaged:engage,engaging,involved,participated,committed,conducting,initiated,focused,employed,active
throat:stomach,neck,nose,mouth,chest,ear,knife,ears,teeth,knees
puts:brings,put,putting,goes,takes,creates,gives,comes,keeps
fingers:finger,legs,hands,thumb,hand,nose,ears,eyes,ear,knees
award:awards,prize,honors,prestigious,awarded,honored,honor,nominations
mouth:throat,nose,ear,ears,eyes,teeth,stomach,chest,fingers,bite
attack:attacks,assault,bombing,attacking,attacked,raid,blasts,bombings,attackers
amendment:amendments,bill,legislation,provision,amended,proposal,provisions,repeal,ordinance
document:documents,documentation,memo,letter,declaration,papers,report,affidavit,summary,files
argued:argues,arguing,argue,contends,insisted,noted,suggested,emphasized,acknowledged,claimed
require:requires,requiring,required,allow,involve,need,requirement,needed,necessary,mean
yellow:red,orange,blue,pink,colored,brown,white,green,gray,color
towns:cities,town,villages,municipalities,communities,districts,village,neighborhoods,areas,regions
sequel:movie,film,script,films,movies,starring,adventure,genre,animated
statements:remarks,testimony,comments,statement,assumptions,documents,beliefs
accompanied:greeted,accompanying,followed,included,triggered,led,characterized,surrounded,echoed,driven
independence:sovereignty,freedom,democracy,democratic,independent,presidency,stability,unity,prosperity
ignore:ignoring,ignored,forget,dismiss,reject,resist,acknowledge,recognize,understand,accept
endless:countless,constant,continuous,enormous,inevitable,sorts,incredible,plenty,occasional,unlimited
facing:faced,faces,face,looming,dealing,experiencing,confront,confronted,pressing,struggling
proved:proving,proves,prove,proven,deemed,demonstrated,seemed,arguably,found,considered
maintains:maintained,insists,boasts,believes,contends,maintain,considers,manages,maintaining,promotes
agrees:thinks,wants,agree,decides,agreed,believes,says,considers,asks,refuses
provide:providing,provides,provided,give,deliver,offer,receive,utilize,offers,obtain
demonstrators:protesters,protests,protest,activists,demonstrations,demonstration,supporters,march,marched,crowds
emphasize:emphasized,highlight,remind,focus,demonstrate,acknowledge,stressed,recognize,emphasis,focusing
spotted:noticed,discovered,alerted,arrived,caught,stopped,approached,found,chased,saw
containing:contained,contain,contains,carrying,contents,filled,stored,attached,distributing,loaded
collapsed:collapse,fell,plunged,crashed,sank,tumbled,slumped,disappeared,crushed,died
quickly:easily,rapidly,soon,promptly,slowly,eventually,instantly,fast,gradually,immediately
pumping:pumped,pump,pumps,flowing,flow,flows,poured,drain,injection,running
steep:sharp,climb,modest,plunge,hike,climbing,flat,sharply,soaring,narrow
halt:halted,suspend,stop,resumed,curb,stalled,stopped,resume,reverse,abandon
love:loved,loves,passion,hate,loving,wonderful,romance,joy,friendship,passionate
reviewing:examining,evaluating,review,reviewed,investigating,studying,discussing,examine,evaluate,exploring
squeeze:pinch,pull,tight,pressures,grab,push,drag,slump,sink,cut
hopeful:optimistic,confident,hoping,hope,hopes,hoped,convinced,anxious,happy,glad
disastrous:devastating,terrible,embarrassing,disappointing,horrible,bad,nightmare,worst,awful,shaky
admit:acknowledge,admitting,admitted,admits,say,acknowledged,think,accept,confessed,realize
snow:rain,ice,weather,winter,wet,inches,storms,storm,mud
authorities:officials,investigators,prosecutors,police,detectives,governments
clues:insight,insights,answers,details,glimpse,mystery,indication,evidence,information,explanation
convince:persuade,convinced,prove,convincing,assure,lure,remind,tell,explain,understand
telling:tell,saying,told,tells,reminded,talking,explaining,asking,remind,letting
strong:solid,robust,stronger,weak,strongest,good,strength,consistent,weaker
oversight:supervision,accountability,authority,scrutiny,transparency,oversee,audit,overseeing,coordination,enforcement
prices:price,pricing,demand,inflation,costs,inventories,market,commodities
asking:ask,requesting,asked,asks,urging,telling,seeking,requested,calling,demanding
definition:defined,standard,define,interpretation,standards,criteria,resolution,description,scope
contacts:connections,contact,conversations,links,ties,relationships,interaction,relationship,cooperation,communication
says:said,thinks,explains,believes,argues,explained,warns,insists,admits,noted
